flight_id,date,origin,destination,aircraft_type,flight_duration_hr,fuel_burn_kg,SAF_blend_pct,co2_emissions_kg
DLH0064,2020-05-03,CDG,MUC,A350,7.51,43558.0,50,68821.64
DLH0065,2022-10-07,CDG,MUC,B737,11.4,27360.0,50,43228.8
DLH0066,2023-07-07,ZRH,BER,B787,5.72,29744.0,20,75192.83200000001
DLH0067,2024-01-12,FRA,MUC,B737,4.77,11447.999999999998,0,36175.67999999999
DLH0068,2022-05-23,CDG,MUC,A320,10.45,26125.0,10,74299.5
DLH0069,2023-08-03,FRA,LHR,B787,7.64,39728.0,0,125540.48000000001
DLH0070,2023-08-10,LHR,ZRH,A350,4.15,24070.000000000004,10,68455.08000000002
DLH0071,2022-12-10,LHR,MUC,A320,6.38,15950.0,10,45361.8
DLH0072,2024-11-08,CDG,ZRH,B737,1.04,2496.0,0,7887.360000000001
DLH0073,2023-07-22,FRA,LHR,A320,9.36,23400.0,0,73944.0
DLH0074,2022-02-07,CDG,FRA,A350,7.03,40774.0,10,115961.25600000001
DLH0075,2020-01-28,MUC,BER,A350,2.55,14789.999999999998,0,46736.399999999994
DLH0076,2023-04-16,CDG,BER,B737,11.35,27240.0,0,86078.40000000001
DLH0077,2024-06-18,LHR,MUC,A350,1.79,10382.0,0,32807.12
DLH0078,2024-06-19,BER,MUC,B787,3.56,18512.0,0,58497.920000000006
DLH0079,2022-02-20,MUC,LHR,A350,7.52,43616.0,50,68913.28
DLH0080,2021-11-12,BER,LHR,A320,9.51,23775.0,20,60103.200000000004
DLH0081,2023-04-28,BER,FRA,B737,5.51,13224.0,0,41787.840000000004
DLH0082,2023-01-23,LHR,FRA,A350,6.73,39034.0,0,123347.44
DLH0083,2022-03-23,FRA,LHR,B737,7.39,17736.0,20,44836.60800000001
DLH0084,2023-09-08,FRA,LHR,A350,8.53,49473.99999999999,10,140704.056
DLH0085,2021-11-23,BER,FRA,A350,3.09,17922.0,20,45306.816000000006
DLH0086,2020-02-18,LHR,FRA,A350,6.93,40194.0,20,101610.43200000002
DLH0087,2025-02-03,LHR,FRA,B737,1.75,4200.0,0,13272.0
DLH0088,2025-04-04,MUC,ZRH,A320,4.29,10725.0,10,30501.9
DLH0089,2024-08-26,LHR,FRA,A320,7.86,19650.0,20,49675.200000000004
DLH0090,2021-04-22,ZRH,LHR,A350,1.69,9802.0,0,30974.32
DLH0091,2025-01-20,FRA,LHR,A320,8.0,20000.0,10,56880.0
DLH0092,2022-12-02,FRA,ZRH,A320,9.74,24350.0,10,69251.40000000001
DLH0093,2020-05-26,BER,MUC,B787,4.75,24700.0,0,78052.0
DLH0094,2023-08-15,ZRH,CDG,A320,1.18,2950.0,0,9322.0
DLH0095,2022-07-18,BER,ZRH,A320,3.37,8425.0,0,26623.0
DLH0096,2021-05-28,MUC,FRA,B737,10.4,24960.0,10,70986.24
DLH0097,2020-03-25,CDG,FRA,B787,6.1,31719.999999999996,0,100235.2
DLH0098,2022-07-03,BER,MUC,A320,7.19,17975.0,0,56801.0
DLH0099,2022-09-13,FRA,MUC,A320,3.27,8175.0,0,25833.0
