flight_id,date,origin,destination,aircraft_type,flight_duration_hr,fuel_burn_kg,SAF_blend_pct,co2_emissions_kg
DLH0049,2024-04-12,FRA,MUC,A320,1.46,3650.0,0,11534.0
DLH0050,2024-04-13,LHR,FRA,B737,7.68,18432.0,0,58245.12
DLH0051,2024-09-05,TXL,MUC,B787,5.69,29588.000000000004,20,74798.46400000002
DLH0052,2024-08-03,ZRH,MUC,B737,11.83,28392.0,0,89718.72
DLH0053,2024-10-09,ZRH,TXL,A320,1.51,3775.0,0,11929.0
DLH0054,2024-07-18,MUC,LHR,A350,6.01,33656.0,10,95717.664
DLH0055,2024-09-08,MUC,ZRH,A320,1.41,3525.0,20,8911.2
DLH0056,2024-09-04,TXL,MUC,B787,10.81,56212.0,0,177629.92
DLH0057,2024-06-30,MUC,CDG,B737,11.45,27480.0,0,86836.8
DLH0058,2024-02-03,CDG,ZRH,A350,6.39,35784.0,0,113077.44
DLH0059,2024-03-18,ZRH,FRA,B787,1.54,8008.0,20,20244.224000000002
DLH0060,2024-02-26,LHR,TXL,A350,1.08,6048.0,10,17200.512000000002
DLH0061,2024-08-15,ZRH,FRA,B787,8.64,44928.0,10,127775.23200000002
DLH0062,2024-07-03,LHR,ZRH,B787,11.54,60007.99999999999,10,170662.752
DLH0063,2024-02-07,MUC,ZRH,B737,1.87,4488.0,0,14182.08
DLH0064,2024-11-12,MUC,CDG,B787,9.7,50439.99999999999,20,127512.32
DLH0065,2024-07-20,CDG,ZRH,B737,1.36,3264.0000000000005,0,10314.240000000002
DLH0066,2024-09-02,CDG,ZRH,B737,10.04,24095.999999999996,0,76143.35999999999
DLH0067,2024-10-22,MUC,LHR,B737,10.86,26064.0,50,41181.12
DLH0068,2024-01-05,LHR,CDG,B787,11.78,61256.0,10,174212.064
DLH0069,2024-02-22,CDG,FRA,A320,5.4,13500.0,0,42660.0
DLH0070,2024-03-04,LHR,TXL,A320,10.08,25200.0,0,79632.0
DLH0071,2024-01-02,ZRH,CDG,B787,9.41,48932.0,0,154625.12
DLH0072,2024-03-25,ZRH,FRA,B787,11.05,57460.00000000001,10,163416.24000000005
DLH0073,2024-03-10,MUC,FRA,A350,6.45,36120.0,10,102725.28000000001
DLH0074,2024-04-29,FRA,MUC,A350,10.01,56056.0,10,159423.26400000002
DLH0075,2024-07-28,TXL,FRA,A320,2.81,7025.0,0,22199.0
DLH0076,2024-06-29,CDG,FRA,A320,4.31,10774.999999999998,0,34048.99999999999
DLH0077,2024-06-15,FRA,TXL,A320,1.99,4975.0,10,14148.9
DLH0078,2024-12-12,CDG,FRA,A320,1.96,4900.0,0,15484.0
DLH0079,2024-05-20,ZRH,TXL,A350,3.11,17416.0,10,49531.10400000001
DLH0080,2024-12-21,LHR,FRA,B737,8.91,21384.0,10,60816.096000000005
DLH0081,2024-01-29,CDG,LHR,B737,1.87,4488.0,0,14182.08
DLH0082,2024-06-30,CDG,TXL,A320,7.72,19300.0,0,60988.0
DLH0083,2024-11-30,FRA,ZRH,B787,7.62,39624.0,10,112690.65600000002
DLH0084,2024-06-14,ZRH,MUC,A320,4.14,10350.0,10,29435.4
DLH0085,2024-10-28,ZRH,CDG,A350,9.09,50904.0,0,160856.64
DLH0086,2024-04-23,FRA,CDG,B787,1.63,8476.0,20,21427.328
DLH0087,2024-02-07,CDG,MUC,A350,2.4,13440.0,50,21235.2
DLH0088,2024-12-04,FRA,LHR,A320,4.83,12075.0,0,38157.0
DLH0089,2024-11-10,MUC,CDG,A350,3.58,20048.0,0,63351.68
DLH0090,2024-02-06,CDG,FRA,B787,6.44,33488.0,0,105822.08
DLH0091,2024-12-19,MUC,CDG,A350,7.5,42000.0,0,132720.0
DLH0092,2024-11-25,TXL,FRA,A350,5.09,28504.0,10,81065.376
DLH0093,2024-01-12,ZRH,CDG,B737,9.93,23832.0,0,75309.12000000001
DLH0094,2024-03-16,CDG,ZRH,A320,2.45,6125.0,0,19355.0
DLH0095,2024-12-06,CDG,MUC,A320,3.58,8950.0,50,14141.0
DLH0096,2024-08-10,TXL,MUC,B787,1.81,9412.0,0,29741.920000000002
DLH0097,2024-10-03,ZRH,MUC,B737,6.66,15984.0,20,40407.552
DLH0098,2024-10-22,ZRH,MUC,A350,1.42,7952.0,0,25128.32
DLH0099,2024-09-20,FRA,ZRH,B787,6.97,36244.0,50,57265.520000000004
